Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
23000,8.616,9.688,9.817,9.913,10.017,10.314,10.413,10.489,9.454,9.623,10.004,10.321,10.620,9.832,9.725,10.003,-1.072,-0.129,-0.096,-0.104,-0.099,-0.076,-0.169,-0.381,-0.317,-0.299,-0.497,-0.310,-0.171,-0.278,7.5,0.379,2.72E+07
24000,8.569,9.644,9.779,9.877,9.985,10.282,10.380,10.455,9.406,9.581,9.968,10.287,10.588,9.794,9.684,9.969,-1.075,-0.135,-0.098,-0.108,-0.098,-0.075,-0.175,-0.387,-0.319,-0.301,-0.503,-0.314,-0.175,-0.285,7.5,0.382,2.30E+07
25000,8.501,9.582,9.727,9.828,9.940,10.241,10.339,10.414,9.339,9.523,9.918,10.241,10.544,9.741,9.627,9.923,-1.081,-0.145,-0.101,-0.112,-0.098,-0.075,-0.184,-0.395,-0.323,-0.303,-0.514,-0.323,-0.182,-0.296,7.5,0.385,1.99E+07
26000,8.422,9.513,9.667,9.773,9.889,10.195,10.294,10.370,9.261,9.457,9.862,10.189,10.495,9.680,9.562,9.871,-1.091,-0.154,-0.106,-0.116,-0.099,-0.076,-0.196,-0.405,-0.327,-0.306,-0.528,-0.333,-0.191,-0.309,7.5,0.388,1.75E+07
27000,8.339,9.441,9.606,9.715,9.836,10.148,10.248,10.326,9.178,9.389,9.803,10.134,10.443,9.618,9.495,9.817,-1.102,-0.165,-0.109,-0.121,-0.100,-0.078,-0.211,-0.414,-0.331,-0.309,-0.542,-0.345,-0.199,-0.322,7.5,0.391,1.55E+07
28000,8.258,9.370,9.546,9.657,9.784,10.101,10.203,10.282,9.097,9.322,9.745,10.080,10.392,9.556,9.430,9.763,-1.112,-0.176,-0.111,-0.127,-0.102,-0.079,-0.225,-0.423,-0.335,-0.312,-0.555,-0.356,-0.207,-0.333,7.5,0.393,1.39E+07
29000,8.178,9.302,9.487,9.601,9.732,10.054,10.159,10.239,9.018,9.257,9.687,10.027,10.342,9.495,9.365,9.709,-1.124,-0.185,-0.114,-0.131,-0.105,-0.080,-0.239,-0.430,-0.340,-0.315,-0.567,-0.367,-0.214,-0.344,7.5,0.396,1.26E+07
30000,8.100,9.235,9.429,9.545,9.680,10.008,10.114,10.196,8.940,9.194,9.631,9.974,10.291,9.436,9.303,9.657,-1.135,-0.194,-0.116,-0.135,-0.106,-0.082,-0.254,-0.437,-0.343,-0.317,-0.579,-0.377,-0.221,-0.354,7.5,0.399,1.14E+07
31000,8.027,9.172,9.374,9.493,9.631,9.965,10.072,10.156,8.867,9.134,9.578,9.924,10.244,9.380,9.244,9.607,-1.145,-0.202,-0.119,-0.138,-0.107,-0.084,-0.267,-0.444,-0.346,-0.320,-0.591,-0.387,-0.227,-0.363,7.5,0.401,1.86E+07
32000,7.952,9.108,9.318,9.439,9.581,9.920,10.028,10.114,8.793,9.073,9.524,9.873,10.195,9.323,9.183,9.555,-1.156,-0.210,-0.121,-0.142,-0.108,-0.086,-0.280,-0.451,-0.349,-0.322,-0.602,-0.396,-0.232,-0.372,7.5,0.404,1.74E+07
33000,7.878,9.045,9.262,9.385,9.530,9.874,9.984,10.071,8.719,9.013,9.469,9.821,10.146,9.265,9.122,9.504,-1.167,-0.217,-0.123,-0.145,-0.110,-0.087,-0.294,-0.456,-0.352,-0.325,-0.612,-0.405,-0.239,-0.382,7.5,0.407,1.63E+07
