Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
2750.0,20.413,18.851,16.902,16.084,15.702,15.876,16.265,16.64,21.333,17.882,16.284,16.167,16.068,16.506,17.166,15.751,1.562,1.949,0.818,0.382,-0.389,-0.375,3.451,1.598,0.117,0.099,1.026,0.408,0.755,1.415,7.5,0.317,8.8780001E9
3000.0,19.973,18.539,16.69,15.838,15.263,15.326,15.717,15.996,20.88,17.619,16.093,15.776,15.63,16.206,16.954,15.377,1.434,1.849,0.852,0.575,-0.391,-0.279,3.261,1.526,0.317,0.146,1.364,0.767,0.829,1.577,7.5,0.317,7.7650002E9
3250.0,19.519,18.216,16.473,15.619,14.936,14.815,15.166,15.373,20.414,17.347,15.906,15.481,15.284,15.947,16.738,15.081,1.303,1.743,0.854,0.683,-0.351,-0.207,3.067,1.441,0.425,0.197,1.658,1.091,0.866,1.657,7.5,0.318,6.7490002E9
3500.0,19.041,17.874,16.244,15.414,14.691,14.353,14.625,14.769,19.924,17.06,15.712,15.251,15.019,15.718,16.509,14.845,1.167,1.63,0.83,0.723,-0.272,-0.144,2.864,1.348,0.461,0.232,1.891,1.359,0.873,1.664,7.5,0.318,5.7020001E9
3750.0,18.526,17.506,15.996,15.209,14.489,13.959,14.107,14.182,19.398,16.749,15.504,15.049,14.807,15.499,16.259,14.641,1.02,1.51,0.787,0.72,-0.148,-0.075,2.649,1.245,0.455,0.242,2.037,1.545,0.858,1.618,7.5,0.319,4.7229998E9
4000.0,17.982,17.116,15.733,14.996,14.302,13.66,13.652,13.662,18.843,16.419,15.281,14.854,14.622,15.278,15.99,14.448,0.866,1.383,0.737,0.694,0.008,-0.01,2.424,1.138,0.427,0.232,2.073,1.621,0.83,1.542,7.5,0.319,4.15699994E9
4250.0,17.381,16.683,15.438,14.759,14.104,13.438,13.273,13.249,18.232,16.052,15.031,14.644,14.436,15.034,15.687,14.244,0.698,1.245,0.679,0.655,0.165,0.024,2.18,1.021,0.387,0.208,2.0,1.593,0.79,1.443,7.5,0.32,3.67000013E9
4500.0,16.764,16.238,15.129,14.507,13.898,13.262,12.98,12.927,17.605,15.67,14.765,14.424,14.245,14.774,15.365,14.03,0.526,1.109,0.622,0.609,0.282,0.053,1.935,0.905,0.341,0.179,1.867,1.503,0.744,1.335,7.5,0.321,3.136E9
4750.0,16.162,15.8,14.819,14.253,13.69,13.104,12.769,12.68,16.995,15.291,14.497,14.201,14.054,14.51,15.04,13.814,0.362,0.981,0.566,0.563,0.335,0.089,1.704,0.794,0.296,0.147,1.715,1.393,0.696,1.226,7.5,0.323,2.65699994E9
5000.0,15.573,15.376,14.513,14.0,13.482,12.95,12.609,12.507,16.399,14.921,14.231,13.978,13.862,14.244,14.716,13.599,0.197,0.863,0.513,0.518,0.341,0.102,1.478,0.69,0.253,0.116,1.563,1.281,0.645,1.117,7.5,0.326,2.16199987E9
